<http://www.wikidata.org/entity/Q6199>	anarchism
<http://www.wikidata.org/entity/Q850730>	University of Groningen
<http://www.wikidata.org/entity/Q185557>	excretion
<http://www.wikidata.org/entity/Q189307>	Reinhold Messner
<http://www.wikidata.org/entity/Q31818>	wryneck
<http://www.wikidata.org/entity/Q25678>	Eurasian Wryneck
<http://www.wikidata.org/entity/Q182660>	Dobruja
<http://www.wikidata.org/entity/Q273514>	Nabopolassar
<http://www.wikidata.org/entity/Q207650>	autodidacticism
<http://www.wikidata.org/entity/Q13870>	Pampanga
<http://www.wikidata.org/entity/Q13739>	Bataan
<http://www.wikidata.org/entity/Q13895>	Zambales
<http://www.wikidata.org/entity/Q13892>	Tarlac
<http://www.wikidata.org/entity/Q182455>	Wilt Chamberlain
<http://www.wikidata.org/entity/Q13865>	Nueva Ecija
<http://www.wikidata.org/entity/Q2602>	Egon Krenz
<http://www.wikidata.org/entity/Q232806>	County of Edessa
<http://www.wikidata.org/entity/Q13881>	Sorsogon
<http://www.wikidata.org/entity/Q13847>	Masbate
<http://www.wikidata.org/entity/Q13778>	Catanduanes
<http://www.wikidata.org/entity/Q337881>	Johnny English
<http://www.wikidata.org/entity/Q929667>	Lexington
<http://www.wikidata.org/entity/Q13662>	Bicol Region
<http://www.wikidata.org/entity/Q13767>	Camarines Sur
<http://www.wikidata.org/entity/Q276181>	Jim Varney
<http://www.wikidata.org/entity/Q248775>	Mad Max
<http://www.wikidata.org/entity/Q1486>	Buenos Aires
<http://www.wikidata.org/entity/Q3329375>	variety
<http://www.wikidata.org/entity/Q44754>	Buenos Aires
<http://www.wikidata.org/entity/Q77087>	Klaus Mann
<http://www.wikidata.org/entity/Q181383>	Mahathir Mohamad
<http://www.wikidata.org/entity/Q5332>	Saratov
<http://www.wikidata.org/entity/Q3927>	Astrakhan
<http://www.wikidata.org/entity/Q1318295>	narrative
<http://www.wikidata.org/entity/Q192023>	Stairway to Heaven
<http://www.wikidata.org/entity/Q12511>	stairs
<http://www.wikidata.org/entity/Q19205>	Rob Bourdon
<http://www.wikidata.org/entity/Q171953>	Numididae
<http://www.wikidata.org/entity/Q13899>	Zamboanga del Norte
<http://www.wikidata.org/entity/Q13900>	Zamboanga del Sur
<http://www.wikidata.org/entity/Q311802>	Giuseppe Ungaretti
<http://www.wikidata.org/entity/Q188417>	neutrophil
<http://www.wikidata.org/entity/Q17790>	Kangxi Emperor
<http://www.wikidata.org/entity/Q40030>	Rio Grande do Sul
<http://www.wikidata.org/entity/Q41115>	Santa Catarina
<http://www.wikidata.org/entity/Q360808>	John Tyndall
<http://www.wikidata.org/entity/Q205667>	Salvador Luria
<http://www.wikidata.org/entity/Q189233>	throne
<http://www.wikidata.org/entity/Q146617>	Achillea
<http://www.wikidata.org/entity/Q190967>	Crusader states
<http://www.wikidata.org/entity/Q273256>	Hakeem Olajuwon
<http://www.wikidata.org/entity/Q235030>	Principality of Antioch
<http://www.wikidata.org/entity/Q109324>	Christopher Lloyd
<http://www.wikidata.org/entity/Q210688>	Asuka period
<http://www.wikidata.org/entity/Q1224>	Carlo Azeglio Ciampi
<http://www.wikidata.org/entity/Q272033>	County of Tripoli
<http://www.wikidata.org/entity/Q34230>	Tungusic languages
<http://www.wikidata.org/entity/Q1484>	Mayon Volcano
<http://www.wikidata.org/entity/Q455963>	Mount Apo
<http://www.wikidata.org/entity/Q192817>	Bearded Reedling
<http://www.wikidata.org/entity/Q622878>	tamaraw
<http://www.wikidata.org/entity/Q466932>	Magellan
<http://www.wikidata.org/entity/Q213638>	Kingdom of Cyprus
<http://www.wikidata.org/entity/Q150526>	Santiago Ramón y Cajal
<http://www.wikidata.org/entity/Q223402>	Cardinal
<http://www.wikidata.org/entity/Q19845>	Geri Halliwell
<http://www.wikidata.org/entity/Q170996>	Galați
<http://www.wikidata.org/entity/Q192949>	plant hormone
<http://www.wikidata.org/entity/Q179695>	Ismail Kadare
<http://www.wikidata.org/entity/Q243442>	Leo Baekeland
<http://www.wikidata.org/entity/Q184260>	mortgage
<http://www.wikidata.org/entity/Q371207>	Columbo
<http://www.wikidata.org/entity/Q354863>	Lee de Forest
<http://www.wikidata.org/entity/Q165740>	aphorism
<http://www.wikidata.org/entity/Q180991>	Common Merganser
<http://www.wikidata.org/entity/Q544847>	Qualcomm
<http://www.wikidata.org/entity/Q49169>	Stamford
<http://www.wikidata.org/entity/Q49178>	Waterbury
<http://www.wikidata.org/entity/Q54219>	West Haven
<http://www.wikidata.org/entity/Q631402>	Norwich
<http://www.wikidata.org/entity/Q219409>	venture capital
<http://www.wikidata.org/entity/Q964401>	fertility
<http://www.wikidata.org/entity/Q310341>	Antonio Negri
<http://www.wikidata.org/entity/Q180109>	Apollonius of Perga
<http://www.wikidata.org/entity/Q467664>	Butte
<http://www.wikidata.org/entity/Q204760>	Antipater
<http://www.wikidata.org/entity/Q9267>	Turkmen
<http://www.wikidata.org/entity/Q170244>	Berat
<http://www.wikidata.org/entity/Q28108>	political system
<http://www.wikidata.org/entity/Q134620>	Jyväskylä
<http://www.wikidata.org/entity/Q228559>	Evonne Goolagong Cawley
<http://www.wikidata.org/entity/Q46316>	Shelduck
<http://www.wikidata.org/entity/Q312407>	John Dos Passos
<http://www.wikidata.org/entity/Q173065>	Kingdom of Naples
<http://www.wikidata.org/entity/Q189609>	Red-breasted Merganser
<http://www.wikidata.org/entity/Q13682>	Zamboanga Peninsula
<http://www.wikidata.org/entity/Q25761>	Common Shelduck
<http://www.wikidata.org/entity/Q504530>	Walsall
<http://www.wikidata.org/entity/Q28301>	Olinda
<http://www.wikidata.org/entity/Q483577>	Rivaldo
<http://www.wikidata.org/entity/Q175057>	Fernando de Noronha
<http://www.wikidata.org/entity/Q12167>	malnutrition
<http://www.wikidata.org/entity/Q53333>	James Blake
<http://www.wikidata.org/entity/Q10491>	Eichstätt
<http://www.wikidata.org/entity/Q193346>	Henning Mankell
<http://www.wikidata.org/entity/Q178453>	Order of the Phoenix
<http://www.wikidata.org/entity/Q639208>	Bodiam Castle
<http://www.wikidata.org/entity/Q46751>	Harry Potter and the Goblet of Fire
<http://www.wikidata.org/entity/Q162691>	Assumption of Mary
<http://www.wikidata.org/entity/Q326295>	Plymouth
<http://www.wikidata.org/entity/Q178093>	Poughkeepsie
<http://www.wikidata.org/entity/Q245315>	Liu Bei
<http://www.wikidata.org/entity/Q1044808>	Newburgh
<http://www.wikidata.org/entity/Q13902>	Zamboanga Sibugay
<http://www.wikidata.org/entity/Q253789>	Mergus
<http://www.wikidata.org/entity/Q191940>	Petronius Maximus
<http://www.wikidata.org/entity/Q157646>	Antirrhinum
<http://www.wikidata.org/entity/Q150981>	North German Confederation
<http://www.wikidata.org/entity/Q13857>	Misamis Occidental
<http://www.wikidata.org/entity/Q44530>	Maximilian II of Bavaria
<http://www.wikidata.org/entity/Q187436>	bribery
<http://www.wikidata.org/entity/Q27407>	East Africa
<http://www.wikidata.org/entity/Q12561>	World Congress of Esperanto
<http://www.wikidata.org/entity/Q204590>	Christian Slater
<http://www.wikidata.org/entity/Q51628>	Nativity of Jesus
<http://www.wikidata.org/entity/Q116728>	Victoria, Princess Royal
<http://www.wikidata.org/entity/Q184249>	Kelly Rowland
<http://www.wikidata.org/entity/Q57815>	Enda Kenny
<http://www.wikidata.org/entity/Q294641>	Martin Landau
<http://www.wikidata.org/entity/Q13769>	Camiguin
<http://www.wikidata.org/entity/Q104000>	Lauren Bacall
<http://www.wikidata.org/entity/Q242803>	Yasukuni Shrine
<http://www.wikidata.org/entity/Q232449>	BoA
<http://www.wikidata.org/entity/Q2207288>	craft
<http://www.wikidata.org/entity/Q161103>	Petunia
<http://www.wikidata.org/entity/Q212879>	Kim Novak
<http://www.wikidata.org/entity/Q41228>	Southern Hemisphere
<http://www.wikidata.org/entity/Q171649>	Ubangi River
<http://www.wikidata.org/entity/Q504433>	Lake Mweru
<http://www.wikidata.org/entity/Q191788>	ITER
<http://www.wikidata.org/entity/Q486822>	Robin Hood: Prince of Thieves
<http://www.wikidata.org/entity/Q210493>	Yantai
<http://www.wikidata.org/entity/Q13195>	lime
<http://www.wikidata.org/entity/Q38994>	Human Development Index
<http://www.wikidata.org/entity/Q127849>	Tilia
<http://www.wikidata.org/entity/Q174341>	İskenderun
<http://www.wikidata.org/entity/Q185292>	quipu
<http://www.wikidata.org/entity/Q189588>	stomach cancer
<http://www.wikidata.org/entity/Q232316>	Robert Burns Woodward
<http://www.wikidata.org/entity/Q130853>	Plácido Domingo
<http://www.wikidata.org/entity/Q57150>	Hermann Hoth
<http://www.wikidata.org/entity/Q216823>	air mass
<http://www.wikidata.org/entity/Q535534>	Hohhot
<http://www.wikidata.org/entity/Q216923>	Chinese Taipei
<http://www.wikidata.org/entity/Q629608>	kafir
<http://www.wikidata.org/entity/Q31207>	health care
<http://www.wikidata.org/entity/Q13730>	Aurora
<http://www.wikidata.org/entity/Q185614>	simplified Chinese characters
<http://www.wikidata.org/entity/Q80299>	Angel Falls
<http://www.wikidata.org/entity/Q13863>	Negros Oriental
<http://www.wikidata.org/entity/Q213785>	Oilbird
<http://www.wikidata.org/entity/Q17210>	container ship
<http://www.wikidata.org/entity/Q335225>	rocket engine
<http://www.wikidata.org/entity/Q232149>	William John Macquorn Rankine
<http://www.wikidata.org/entity/Q190055>	Roxana
<http://www.wikidata.org/entity/Q241026>	Muhammad al-Bukhari
<http://www.wikidata.org/entity/Q48989>	ZDF
<http://www.wikidata.org/entity/Q725276>	Aramus guarauna
<http://www.wikidata.org/entity/Q80880>	1997 Asian financial crisis
<http://www.wikidata.org/entity/Q176848>	pyrolysis
<http://www.wikidata.org/entity/Q193397>	Steve Vai
<http://www.wikidata.org/entity/Q153978>	University of Tübingen
<http://www.wikidata.org/entity/Q15696>	Zamora
<http://www.wikidata.org/entity/Q217530>	Nepenthes
<http://www.wikidata.org/entity/Q242326>	Bohol Sea
<http://www.wikidata.org/entity/Q1426>	Roger Federer
<http://www.wikidata.org/entity/Q185917>	translation
<http://www.wikidata.org/entity/Q353978>	R. Lee Ermey
<http://www.wikidata.org/entity/Q190051>	Jamie Oliver
<http://www.wikidata.org/entity/Q151830>	Melanie C
<http://www.wikidata.org/entity/Q203047>	Richard Dean Anderson
<http://www.wikidata.org/entity/Q111837>	marshal
<http://www.wikidata.org/entity/Q862>	Joseph Brodsky
<http://www.wikidata.org/entity/Q592177>	thorax
<http://www.wikidata.org/entity/Q212942>	Jacamar
<http://www.wikidata.org/entity/Q155845>	Chinua Achebe
<http://www.wikidata.org/entity/Q383258>	orthodoxy
<http://www.wikidata.org/entity/Q15026>	chair
<http://www.wikidata.org/entity/Q263730>	Alejandro Jodorowsky
<http://www.wikidata.org/entity/Q484083>	green tea
<http://www.wikidata.org/entity/Q331179>	Harlequin duck
<http://www.wikidata.org/entity/Q2175>	Riau Province
<http://www.wikidata.org/entity/Q188660>	hoatzin
<http://www.wikidata.org/entity/Q338450>	tango
<http://www.wikidata.org/entity/Q11075>	Abd al-Rahman al-Sufi
<http://www.wikidata.org/entity/Q11685>	Kim Clijsters
<http://www.wikidata.org/entity/Q313027>	Jean Anthelme Brillat-Savarin
<http://www.wikidata.org/entity/Q152797>	Umberto Boccioni
<http://www.wikidata.org/entity/Q190983>	zeroth law of thermodynamics
<http://www.wikidata.org/entity/Q159879>	Kulturkampf
<http://www.wikidata.org/entity/Q170614>	Ryanair
<http://www.wikidata.org/entity/Q26696>	Common Eider
<http://www.wikidata.org/entity/Q161598>	groundwater
<http://www.wikidata.org/entity/Q173941>	Electronic Arts
<http://www.wikidata.org/entity/Q174019>	Béziers
<http://www.wikidata.org/entity/Q8265>	Dream of the Red Chamber
<http://www.wikidata.org/entity/Q13794>	Davao del Sur
<http://www.wikidata.org/entity/Q310453>	Shunzhi Emperor
<http://www.wikidata.org/entity/Q54340>	People's Daily
<http://www.wikidata.org/entity/Q204839>	Xinhua News Agency
<http://www.wikidata.org/entity/Q18847>	Common Moorhen
<http://www.wikidata.org/entity/Q205089>	Áncash
<http://www.wikidata.org/entity/Q36870>	first language
<http://www.wikidata.org/entity/Q816605>	Ben Stein
<http://www.wikidata.org/entity/Q212476>	Pierre Choderlos de Laclos
<http://www.wikidata.org/entity/Q28449>	Charadriidae
<http://www.wikidata.org/entity/Q131262>	University of Bologna
<http://www.wikidata.org/entity/Q217272>	Glareolidae
<http://www.wikidata.org/entity/Q12086>	Ernesto Teodoro Moneta
<http://www.wikidata.org/entity/Q212826>	West Bromwich
<http://www.wikidata.org/entity/Q101959>	Borussia Mönchengladbach
<http://www.wikidata.org/entity/Q243465>	trans fat
<http://www.wikidata.org/entity/Q83285>	Durrës
<http://www.wikidata.org/entity/Q57385>	Nguema Mbasogo Teodoro Obiang
<http://www.wikidata.org/entity/Q330015>	Denver International Airport
<http://www.wikidata.org/entity/Q29865>	common goldeneye
<http://www.wikidata.org/entity/Q485771>	Tarkan
<http://www.wikidata.org/entity/Q470867>	Beaker culture
<http://www.wikidata.org/entity/Q207172>	scalpel
<http://www.wikidata.org/entity/Q647533>	Cotingidae
<http://www.wikidata.org/entity/Q168525>	tadpole
<http://www.wikidata.org/entity/Q133069>	Bourg-en-Bresse
<http://www.wikidata.org/entity/Q216364>	Epic Records
<http://www.wikidata.org/entity/Q273296>	sangria
<http://www.wikidata.org/entity/Q174257>	Beauvais
<http://www.wikidata.org/entity/Q647461>	Ruddy Duck
<http://www.wikidata.org/entity/Q487473>	Toto Cutugno
<http://www.wikidata.org/entity/Q3114762>	warship
<http://www.wikidata.org/entity/Q2028>	Verona
<http://www.wikidata.org/entity/Q164092>	Duchy of Saxony
<http://www.wikidata.org/entity/Q725342>	Cracidae
<http://www.wikidata.org/entity/Q217472>	Pitta
<http://www.wikidata.org/entity/Q489>	Bill Maher
<http://www.wikidata.org/entity/Q273051>	Jonas Malheiro Savimbi
<http://www.wikidata.org/entity/Q184163>	Colchester
<http://www.wikidata.org/entity/Q76768>	shirt
<http://www.wikidata.org/entity/Q16320>	Club Atlético Peñarol
<http://www.wikidata.org/entity/Q218134>	Stephen I of Moldavia
<http://www.wikidata.org/entity/Q214604>	zero of a function
<http://www.wikidata.org/entity/Q111029>	root
<http://www.wikidata.org/entity/Q192733>	Sheremetyevo International Airport
<http://www.wikidata.org/entity/Q114142>	Violeta Chamorro
<http://www.wikidata.org/entity/Q163446>	carpet
<http://www.wikidata.org/entity/Q230051>	Alexa Internet
<http://www.wikidata.org/entity/Q125999>	Albanian lek
<http://www.wikidata.org/entity/Q131342>	Vicia faba
<http://www.wikidata.org/entity/Q207877>	phosphine
<http://www.wikidata.org/entity/Q369>	Wikiquote
<http://www.wikidata.org/entity/Q47842>	Empress Dowager Cixi
<http://www.wikidata.org/entity/Q188304>	Sunderland
<http://www.wikidata.org/entity/Q13658>	Mimaropa
<http://www.wikidata.org/entity/Q11829>	Hansel and Gretel
<http://www.wikidata.org/entity/Q155938>	Crassulaceae
<http://www.wikidata.org/entity/Q273260>	God Bless Our Homeland Ghana
<http://www.wikidata.org/entity/Q217160>	Kenny Rogers
<http://www.wikidata.org/entity/Q209471>	Telly Savalas
<http://www.wikidata.org/entity/Q207659>	Space Jam
<http://www.wikidata.org/entity/Q129053>	partition of India
<http://www.wikidata.org/entity/Q199440>	Mexicali
<http://www.wikidata.org/entity/Q685>	Solomon Islands
<http://www.wikidata.org/entity/Q2372824>	Elephantidae
<http://www.wikidata.org/entity/Q178925>	Gran Canaria
<http://www.wikidata.org/entity/Q171336>	Slovaks
<http://www.wikidata.org/entity/Q203208>	Pusa hispida
<http://www.wikidata.org/entity/Q26427>	Mew Gull
<http://www.wikidata.org/entity/Q73136>	Stanley Kramer
<http://www.wikidata.org/entity/Q44620>	Franz Josef Strauß
<http://www.wikidata.org/entity/Q504496>	patas monkey
<http://www.wikidata.org/entity/Q199801>	Cindy Crawford
<http://www.wikidata.org/entity/Q217136>	Denali National Park and Preserve
<http://www.wikidata.org/entity/Q156563>	Myrtaceae
<http://www.wikidata.org/entity/Q200578>	Yokosuka
<http://www.wikidata.org/entity/Q141017>	Tokyo Bay
<http://www.wikidata.org/entity/Q216944>	Juglandaceae
<http://www.wikidata.org/entity/Q219956>	Zonguldak Province
<http://www.wikidata.org/entity/Q123934>	Muğla Province
<http://www.wikidata.org/entity/Q244157>	Igbo people
<http://www.wikidata.org/entity/Q153401>	Communist Party of Germany
<http://www.wikidata.org/entity/Q77004>	Ernst Thälmann
<http://www.wikidata.org/entity/Q188507>	apartment
<http://www.wikidata.org/entity/Q171318>	kinship
<http://www.wikidata.org/entity/Q216160>	Jeremy Clarkson
<http://www.wikidata.org/entity/Q160260>	flag of New Zealand
<http://www.wikidata.org/entity/Q158487>	Salicaceae
<http://www.wikidata.org/entity/Q168057>	Craiova
<http://www.wikidata.org/entity/Q79808>	Constanța
<http://www.wikidata.org/entity/Q208788>	femtometer
<http://www.wikidata.org/entity/Q208926>	Loch Lomond
<http://www.wikidata.org/entity/Q187665>	thermostat
<http://www.wikidata.org/entity/Q51363>	thermodynamic equilibrium
<http://www.wikidata.org/entity/Q182137>	Lake Maracaibo
<http://www.wikidata.org/entity/Q12697>	Canton of Schaffhausen
<http://www.wikidata.org/entity/Q240933>	Joan Rivers
<http://www.wikidata.org/entity/Q208157>	Straits of Tiran
<http://www.wikidata.org/entity/Q8466>	1. FC Kaiserslautern
<http://www.wikidata.org/entity/Q344098>	italic
<http://www.wikidata.org/entity/Q356541>	Phil LaMarr
<http://www.wikidata.org/entity/Q299710>	Guangxu Emperor
<http://www.wikidata.org/entity/Q318811>	Tongzhi Emperor
<http://www.wikidata.org/entity/Q334452>	Xianfeng Emperor
<http://www.wikidata.org/entity/Q333178>	Jiaqing Emperor
<http://www.wikidata.org/entity/Q19133>	Qianlong Emperor
<http://www.wikidata.org/entity/Q317839>	Yongzheng Emperor
<http://www.wikidata.org/entity/Q296367>	Hong Taiji
<http://www.wikidata.org/entity/Q5700>	Lapland
<http://www.wikidata.org/entity/Q217096>	Crown Prince Naruhito
<http://www.wikidata.org/entity/Q202158>	Hämeenlinna
<http://www.wikidata.org/entity/Q273120>	protest
<http://www.wikidata.org/entity/Q178528>	traditional Chinese characters
<http://www.wikidata.org/entity/Q870844>	Sentosa
<http://www.wikidata.org/entity/Q339527>	Launceston
<http://www.wikidata.org/entity/Q17581>	Sydney Airport
<http://www.wikidata.org/entity/Q44856>	Taoyuan International Airport
<http://www.wikidata.org/entity/Q6682>	Gustave Doré
<http://www.wikidata.org/entity/Q211584>	vending machine
<http://www.wikidata.org/entity/Q275450>	space debris
<http://www.wikidata.org/entity/Q377085>	Assyrian people
<http://www.wikidata.org/entity/Q182822>	French Riviera
<http://www.wikidata.org/entity/Q211674>	Sykes–Picot Agreement
<http://www.wikidata.org/entity/Q208348>	Octet
<http://www.wikidata.org/entity/Q166997>	Nevers
<http://www.wikidata.org/entity/Q1250>	Friuli–Venezia Giulia
<http://www.wikidata.org/entity/Q216778>	refracting telescope
<http://www.wikidata.org/entity/Q208330>	stalemate
<http://www.wikidata.org/entity/Q216372>	Gateshead
<http://www.wikidata.org/entity/Q215829>	Harrogate
<http://www.wikidata.org/entity/Q213832>	Dudley
<http://www.wikidata.org/entity/Q192411>	handkerchief
<http://www.wikidata.org/entity/Q31805>	Invercargill
<http://www.wikidata.org/entity/Q13825>	Iloilo
<http://www.wikidata.org/entity/Q194226>	Battle of Yarmouk
<http://www.wikidata.org/entity/Q13862>	Negros Occidental
<http://www.wikidata.org/entity/Q13810>	Guimaras
<http://www.wikidata.org/entity/Q13723>	Aklan
<http://www.wikidata.org/entity/Q131964>	Austrian Empire
<http://www.wikidata.org/entity/Q332474>	Harrods
<http://www.wikidata.org/entity/Q152925>	Locarno Treaties
<http://www.wikidata.org/entity/Q13727>	Antique
<http://www.wikidata.org/entity/Q13772>	Capiz
<http://www.wikidata.org/entity/Q8694>	Manchester Airport
<http://www.wikidata.org/entity/Q212096>	Kastelorizo
<http://www.wikidata.org/entity/Q131402>	Munich Airport
<http://www.wikidata.org/entity/Q168277>	Gulf of Suez
<http://www.wikidata.org/entity/Q214519>	track gauge
<http://www.wikidata.org/entity/Q19078>	river dolphin
<http://www.wikidata.org/entity/Q210872>	Ganges river dolphin
<http://www.wikidata.org/entity/Q8823>	Levante UD
<http://www.wikidata.org/entity/Q131230>	Mauna Kea
<http://www.wikidata.org/entity/Q530397>	alligator
<http://www.wikidata.org/entity/Q43169>	Crocodylidae
<http://www.wikidata.org/entity/Q18859>	Common Redshank
<http://www.wikidata.org/entity/Q207906>	Père David's Deer
<http://www.wikidata.org/entity/Q13714>	Agusan del Norte
<http://www.wikidata.org/entity/Q285719>	Thales' theorem
<http://www.wikidata.org/entity/Q165608>	Kola
<http://www.wikidata.org/entity/Q1711521>	Nazca
<http://www.wikidata.org/entity/Q8319>	Arkansas River
<http://www.wikidata.org/entity/Q207680>	Mount Kazbek
<http://www.wikidata.org/entity/Q198211>	Zhuge Liang
<http://www.wikidata.org/entity/Q486786>	Daron Malakian
<http://www.wikidata.org/entity/Q203850>	nervous tissue
<http://www.wikidata.org/entity/Q202979>	Cordell Hull
<http://www.wikidata.org/entity/Q767728>	variety
<http://www.wikidata.org/entity/Q10084>	Vlissingen
<http://www.wikidata.org/entity/Q47075>	Scarface
<http://www.wikidata.org/entity/Q484706>	Karaganda
<http://www.wikidata.org/entity/Q156833>	Ramiz Alia
<http://www.wikidata.org/entity/Q214621>	Broadbill
<http://www.wikidata.org/entity/Q57625>	Sali Berisha
<http://www.wikidata.org/entity/Q41413>	Ismoil Somoni Peak
<http://www.wikidata.org/entity/Q215072>	John Goodman
<http://www.wikidata.org/entity/Q48329>	Mariehamn
<http://www.wikidata.org/entity/Q59100>	Shantou
<http://www.wikidata.org/entity/Q59095>	Zhuhai
<http://www.wikidata.org/entity/Q192770>	Saimaa
<http://www.wikidata.org/entity/Q207388>	Muntenia
<http://www.wikidata.org/entity/Q172540>	Bulgarian lev
<http://www.wikidata.org/entity/Q225360>	flag of Bulgaria
<http://www.wikidata.org/entity/Q11264>	Cuban Revolution
<http://www.wikidata.org/entity/Q33261>	ocelot
<http://www.wikidata.org/entity/Q161066>	Fuchsia
<http://www.wikidata.org/entity/Q192936>	Nick Mason
<http://www.wikidata.org/entity/Q335024>	saponification
<http://www.wikidata.org/entity/Q203179>	Assyrian Church of the East
<http://www.wikidata.org/entity/Q215414>	foam
<http://www.wikidata.org/entity/Q274490>	public finance
<http://www.wikidata.org/entity/Q188467>	incoterm
<http://www.wikidata.org/entity/Q244356>	Battle of Ain Jalut
<http://www.wikidata.org/entity/Q93249>	antivirus
<http://www.wikidata.org/entity/Q26635>	Greater scaup
<http://www.wikidata.org/entity/Q47054>	riddle
<http://www.wikidata.org/entity/Q223266>	vassal
<http://www.wikidata.org/entity/Q14817>	Lemgo
<http://www.wikidata.org/entity/Q168954>	Tripoli
<http://www.wikidata.org/entity/Q19089>	GoldenEye
<http://www.wikidata.org/entity/Q227897>	Johann Bernoulli
<http://www.wikidata.org/entity/Q62932>	elasticity
<http://www.wikidata.org/entity/Q10586>	Aquila
<http://www.wikidata.org/entity/Q58093>	cent
<http://www.wikidata.org/entity/Q79972>	James VI and I
<http://www.wikidata.org/entity/Q269871>	Neofelis
<http://www.wikidata.org/entity/Q40846>	Tenerife
<http://www.wikidata.org/entity/Q179588>	Bihor County
<http://www.wikidata.org/entity/Q181513>	Bistrița-Năsăud County
<http://www.wikidata.org/entity/Q178861>	Botoșani County
<http://www.wikidata.org/entity/Q182614>	Brașov County
<http://www.wikidata.org/entity/Q185309>	Buzău County
<http://www.wikidata.org/entity/Q188503>	Brăila County
<http://www.wikidata.org/entity/Q188948>	Călărași County
<http://www.wikidata.org/entity/Q182624>	Cluj County
<http://www.wikidata.org/entity/Q188505>	Constanța County
<http://www.wikidata.org/entity/Q188797>	Dâmbovița County
<http://www.wikidata.org/entity/Q191065>	Dolj County
<http://www.wikidata.org/entity/Q188796>	Galați County
<http://www.wikidata.org/entity/Q193055>	Giurgiu County
<http://www.wikidata.org/entity/Q182778>	Vrancea County
<http://www.wikidata.org/entity/Q186838>	Vâlcea County
<http://www.wikidata.org/entity/Q167199>	Vaslui County
<http://www.wikidata.org/entity/Q191078>	Tulcea County
<http://www.wikidata.org/entity/Q185586>	Timiș County
<http://www.wikidata.org/entity/Q191653>	Teleorman County
<http://www.wikidata.org/entity/Q190690>	Sălaj County
<http://www.wikidata.org/entity/Q191717>	Mehedinți County
<http://www.wikidata.org/entity/Q188945>	Olt County
<http://www.wikidata.org/entity/Q188813>	Maramureș County
<http://www.wikidata.org/entity/Q181209>	Suceava County
<http://www.wikidata.org/entity/Q184797>	Sibiu County
<http://www.wikidata.org/entity/Q165459>	Satu Mare County
<http://www.wikidata.org/entity/Q182888>	Iași County
<http://www.wikidata.org/entity/Q190406>	Gorj County
<http://www.wikidata.org/entity/Q191071>	Hunedoara County
<http://www.wikidata.org/entity/Q179559>	Arad County
<http://www.wikidata.org/entity/Q193044>	Ialomița County
<http://www.wikidata.org/entity/Q188665>	Prahova County
<http://www.wikidata.org/entity/Q43576>	Felis silvestris
<http://www.wikidata.org/entity/Q190702>	Harghita County
<http://www.wikidata.org/entity/Q190711>	Mureș County
<http://www.wikidata.org/entity/Q188959>	Covasna County
<http://www.wikidata.org/entity/Q179779>	Bacău County
<http://www.wikidata.org/entity/Q217230>	Empire of Brazil
<http://www.wikidata.org/entity/Q95048>	Tim Robbins
<http://www.wikidata.org/entity/Q49617>	The Internationale
<http://www.wikidata.org/entity/Q211893>	Eoin Colfer
<http://www.wikidata.org/entity/Q28934>	Brussels Airport
<http://www.wikidata.org/entity/Q498162>	census-designated place
<http://www.wikidata.org/entity/Q555236>	Don Knotts
<http://www.wikidata.org/entity/Q219744>	Luis de Góngora
<http://www.wikidata.org/entity/Q9351>	Pikachu
<http://www.wikidata.org/entity/Q484302>	James Hetfield
<http://www.wikidata.org/entity/Q207384>	Alexander I of Yugoslavia
<http://www.wikidata.org/entity/Q13813>	Ilocos Norte
<http://www.wikidata.org/entity/Q12741>	Ilocos Sur
<http://www.wikidata.org/entity/Q13829>	La Union
<http://www.wikidata.org/entity/Q186465>	Julian Schwinger
<http://www.wikidata.org/entity/Q109179>	Rotary International
<http://www.wikidata.org/entity/Q318090>	oceanic whitetip shark
<http://www.wikidata.org/entity/Q103375>	IO
<http://www.wikidata.org/entity/Q152195>	Anti-Comintern Pact
<http://www.wikidata.org/entity/Q748878>	Dhammapada
<http://www.wikidata.org/entity/Q25224>	pound sterling
<http://www.wikidata.org/entity/Q503331>	Dorchester
<http://www.wikidata.org/entity/Q13740>	Batanes
<http://www.wikidata.org/entity/Q16145>	Bad Hersfeld
<http://www.wikidata.org/entity/Q39093>	Rottweiler
<http://www.wikidata.org/entity/Q189829>	hermit
<http://www.wikidata.org/entity/Q13759>	Cagayan
<http://www.wikidata.org/entity/Q13826>	Isabela
<http://www.wikidata.org/entity/Q13866>	Nueva Vizcaya
<http://www.wikidata.org/entity/Q185079>	Jim Broadbent
<http://www.wikidata.org/entity/Q170143>	Banat
<http://www.wikidata.org/entity/Q179567>	Argeș County
<http://www.wikidata.org/entity/Q218928>	Antsiranana
<http://www.wikidata.org/entity/Q23681>	Turkish Republic of Northern Cyprus
<http://www.wikidata.org/entity/Q171312>	Mario Andretti
<http://www.wikidata.org/entity/Q602288>	It
<http://www.wikidata.org/entity/Q191633>	mangaka
<http://www.wikidata.org/entity/Q9689>	Berlin Schönefeld Airport
<http://www.wikidata.org/entity/Q292290>	Ellen G. White
<http://www.wikidata.org/entity/Q9688>	Berlin Tegel Airport
<http://www.wikidata.org/entity/Q464424>	Python regius
<http://www.wikidata.org/entity/Q156624>	paparazzi
