<http://www.yso.fi/onto/yso/p27729>	culture jamming
<http://www.yso.fi/onto/yso/p27162>	utgångsland
<http://www.yso.fi/onto/yso/p194358>	Mälaren
<http://www.yso.fi/onto/yso/p20030>	fragil X-syndrom
<http://www.yso.fi/onto/yso/p108234>	Kyyrölä (Mola)
<http://www.yso.fi/onto/yso/p7367>	dikning
<http://www.yso.fi/onto/yso/p108604>	Humaljärvi
<http://www.yso.fi/onto/yso/p1836>	arbetstrivsel
<http://www.yso.fi/onto/yso/p3939>	näringsämnen (djur och människor)
<http://www.yso.fi/onto/yso/p23737>	MIM (psykologi)
<http://www.yso.fi/onto/yso/p105717>	Malaysia
<http://www.yso.fi/onto/yso/p111189>	Vanaja (Pieksämäki landskommun)
<http://www.yso.fi/onto/yso/p7389>	djursjukhus
<http://www.yso.fi/onto/yso/p27832>	gruvstäder
<http://www.yso.fi/onto/yso/p22661>	finansinspektion
<http://www.yso.fi/onto/yso/p30120>	barbershop
<http://www.yso.fi/onto/yso/p22532>	somatiseringssyndrom
<http://www.yso.fi/onto/yso/p5398>	ungdomslitteratur
<http://www.yso.fi/onto/yso/p194893>	Delfi
<http://www.yso.fi/onto/yso/p8771>	intern migration
<http://www.yso.fi/onto/yso/p123296>	Sapsalampi (Alavo)
<http://www.yso.fi/onto/yso/p12742>	skriftlig kommunikation
<http://www.yso.fi/onto/yso/p25252>	enaresamer
<http://www.yso.fi/onto/yso/p2932>	forntidsdräkter
<http://www.yso.fi/onto/yso/p18289>	socklar
<http://www.yso.fi/onto/yso/p21342>	tandrot
<http://www.yso.fi/onto/yso/p25645>	enhetskultur
<http://www.yso.fi/onto/yso/p28394>	berber
<http://www.yso.fi/onto/yso/p125465>	Rantakylä (Pyhäjärvi)
<http://www.yso.fi/onto/yso/p111125>	Kronstadt
<http://www.yso.fi/onto/yso/p26460>	RAI-systemet
<http://www.yso.fi/onto/yso/p9272>	datatillbehör
<http://www.yso.fi/onto/yso/p10400>	masochism
<http://www.yso.fi/onto/yso/p19226>	personaltidningar
<http://www.yso.fi/onto/yso/p10025>	kondorer
<http://www.yso.fi/onto/yso/p134742>	Basjkirien
<http://www.yso.fi/onto/yso/p2385>	energibranschen
<http://www.yso.fi/onto/yso/p9120>	skorpor
<http://www.yso.fi/onto/yso/p27548>	gruppsex
<http://www.yso.fi/onto/yso/p28753>	pomorer
<http://www.yso.fi/onto/yso/p18743>	camp
<http://www.yso.fi/onto/yso/p8816>	miljögeokemi
<http://www.yso.fi/onto/yso/p8232>	klimatperioder
<http://www.yso.fi/onto/yso/p3368>	peloponnesiska kriget
<http://www.yso.fi/onto/yso/p6963>	hästsport
<http://www.yso.fi/onto/yso/p9526>	VISU
<http://www.yso.fi/onto/yso/p112877>	Pittsburgh
<http://www.yso.fi/onto/yso/p19336>	zirkon
<http://www.yso.fi/onto/yso/p21798>	undervattensväxter
<http://www.yso.fi/onto/yso/p9584>	fång
<http://www.yso.fi/onto/yso/p17581>	rockabilly
<http://www.yso.fi/onto/yso/p12720>	psykoanalytiker
<http://www.yso.fi/onto/yso/p18469>	lägereldar
<http://www.yso.fi/onto/yso/p29217>	SyncML
<http://www.yso.fi/onto/yso/p27227>	transportkostnader
<http://www.yso.fi/onto/yso/p7868>	jordskred
<http://www.yso.fi/onto/yso/p105902>	Velhovesi
<http://www.yso.fi/onto/yso/p5860>	språkliga rättigheter
<http://www.yso.fi/onto/yso/p248>	utbildningssystem
<http://www.yso.fi/onto/yso/p28986>	kolets kretslopp
<http://www.yso.fi/onto/yso/p15328>	önskningar
<http://www.yso.fi/onto/yso/p23832>	jätteloka
<http://www.yso.fi/onto/yso/p21855>	namngivningsfester
<http://www.yso.fi/onto/yso/p26029>	dödsbevis
<http://www.yso.fi/onto/yso/p16815>	myllyhoito
<http://www.yso.fi/onto/yso/p10051>	kommunformer
<http://www.yso.fi/onto/yso/p23920>	självskärning
<http://www.yso.fi/onto/yso/p23439>	naturvårdslag
<http://www.yso.fi/onto/yso/p165671>	Tikansaari (Sakkola)
<http://www.yso.fi/onto/yso/p28070>	mitomycin
<http://www.yso.fi/onto/yso/p28767>	tradition i versform
<http://www.yso.fi/onto/yso/p18092>	utomhusreklam
<http://www.yso.fi/onto/yso/p5777>	Cohens syndrom
<http://www.yso.fi/onto/yso/p29972>	diktat
<http://www.yso.fi/onto/yso/p7826>	mejeriindustri
<http://www.yso.fi/onto/yso/p23717>	shawneer
<http://www.yso.fi/onto/yso/p20983>	språkliga universaler
<http://www.yso.fi/onto/yso/p105617>	Nurmonjoki
<http://www.yso.fi/onto/yso/p185318>	Vladivostok
<http://www.yso.fi/onto/yso/p24937>	radioreferat
<http://www.yso.fi/onto/yso/p147479>	Lutanjärvi
<http://www.yso.fi/onto/yso/p14594>	trädgårdsterapi
<http://www.yso.fi/onto/yso/p4343>	ministrar
<http://www.yso.fi/onto/yso/p4704>	kapitallån
<http://www.yso.fi/onto/yso/p38131>	vätebindningar
<http://www.yso.fi/onto/yso/p715>	avstående
<http://www.yso.fi/onto/yso/p11019>	seldon
<http://www.yso.fi/onto/yso/p10252>	minoritetspolitik
<http://www.yso.fi/onto/yso/p20144>	musikprogram (media)
<http://www.yso.fi/onto/yso/p13958>	vattenlag
<http://www.yso.fi/onto/yso/p21585>	sill
<http://www.yso.fi/onto/yso/p21558>	fortsättning
<http://www.yso.fi/onto/yso/p24170>	postnummerområden
<http://www.yso.fi/onto/yso/p30164>	Parikkala kyrka
<http://www.yso.fi/onto/yso/p17839>	landsbygdskultur
<http://www.yso.fi/onto/yso/p9721>	tvångsvård
<http://www.yso.fi/onto/yso/p8655>	Punta del Este-deklarationen
<http://www.yso.fi/onto/yso/p208535>	Grönbacka (Esbo)
<http://www.yso.fi/onto/yso/p12287>	mikrosatelliter
<http://www.yso.fi/onto/yso/p16834>	havsskydd
<http://www.yso.fi/onto/yso/p24185>	degu
<http://www.yso.fi/onto/yso/p17881>	debutförfattare
<http://www.yso.fi/onto/yso/p906>	vandringsfiskar
<http://www.yso.fi/onto/yso/p21163>	stenar
<http://www.yso.fi/onto/yso/p112873>	Kallola (Säkkijärvi)
<http://www.yso.fi/onto/yso/p12075>	kanotfärder
<http://www.yso.fi/onto/yso/p29848>	twist (kompositioner)
<http://www.yso.fi/onto/yso/p1721>	autogiror
<http://www.yso.fi/onto/yso/p22050>	honor
<http://www.yso.fi/onto/yso/p213343>	Malkakoski
<http://www.yso.fi/onto/yso/p10595>	tradenomer
<http://www.yso.fi/onto/yso/p6433>	vattenmotion
<http://www.yso.fi/onto/yso/p127975>	Sierra Nevada (Förenta staterna)
<http://www.yso.fi/onto/yso/p23170>	rättelseyrkande
<http://www.yso.fi/onto/yso/p5101>	apollofjäril
<http://www.yso.fi/onto/yso/p18614>	vätskors fysik
<http://www.yso.fi/onto/yso/p429>	drosslar
<http://www.yso.fi/onto/yso/p29213>	litteratur på sadri
<http://www.yso.fi/onto/yso/p219274>	Kolpana
<http://www.yso.fi/onto/yso/p1889>	ammoniak
<http://www.yso.fi/onto/yso/p25604>	yaqui
<http://www.yso.fi/onto/yso/p19303>	läkemedelsräkning
<http://www.yso.fi/onto/yso/p6658>	ZONA51D
<http://www.yso.fi/onto/yso/p9788>	gliom
<http://www.yso.fi/onto/yso/p12406>	krigspolitik
<http://www.yso.fi/onto/yso/p5447>	idiom
<http://www.yso.fi/onto/yso/p94435>	Ekenäs
<http://www.yso.fi/onto/yso/p12739>	sulor
<http://www.yso.fi/onto/yso/p119274>	Joutsjärvi (Sysmä)
<http://www.yso.fi/onto/yso/p169006>	Vähikkälä (Janakkala)
<http://www.yso.fi/onto/yso/p178105>	Luolavuori (Åbo)
<http://www.yso.fi/onto/yso/p110409>	Lehtola (Kemijärvi)
<http://www.yso.fi/onto/yso/p159783>	Java (ö)
<http://www.yso.fi/onto/yso/p16856>	prioritetsordningsteori
<http://www.yso.fi/onto/yso/p26744>	medieverkstäder
<http://www.yso.fi/onto/yso/p85>	allaktivitetshallar
<http://www.yso.fi/onto/yso/p3499>	dragrodd
<http://www.yso.fi/onto/yso/p7211>	jaktvårdsföreningar
<http://www.yso.fi/onto/yso/p124922>	Mommila (Lammi)
<http://www.yso.fi/onto/yso/p27507>	y-generationen
<http://www.yso.fi/onto/yso/p29856>	kadriljer (kompositioner)
<http://www.yso.fi/onto/yso/p16846>	arbetspensionskassor
<http://www.yso.fi/onto/yso/p131468>	Iso-Vimma (Säkylä)
<http://www.yso.fi/onto/yso/p16758>	bärförmåga
<http://www.yso.fi/onto/yso/p8047>	avfallsrådgivning
<http://www.yso.fi/onto/yso/p769>	vokalmusik
<http://www.yso.fi/onto/yso/p2839>	polarområden
<http://www.yso.fi/onto/yso/p27661>	skärgårdspolitik
<http://www.yso.fi/onto/yso/p143272>	Luotola (Luumäki)
<http://www.yso.fi/onto/yso/p29782>	ep
<http://www.yso.fi/onto/yso/p210914>	Japanska havet
<http://www.yso.fi/onto/yso/p25261>	utfärder
<http://www.yso.fi/onto/yso/p27814>	dokumentära skådespel
<http://www.yso.fi/onto/yso/p14756>	teokrati
<http://www.yso.fi/onto/yso/p9846>	kabel-tv
<http://www.yso.fi/onto/yso/p13040>	verkställande makt
<http://www.yso.fi/onto/yso/p27254>	B-cellslymfom
<http://www.yso.fi/onto/yso/p5744>	polacker
<http://www.yso.fi/onto/yso/p38048>	oden (kompositioner)
<http://www.yso.fi/onto/yso/p17613>	kontrastiv retorik
<http://www.yso.fi/onto/yso/p105275>	Bangladesh
<http://www.yso.fi/onto/yso/p18104>	PowerSim
<http://www.yso.fi/onto/yso/p25293>	tidigmodern tid
<http://www.yso.fi/onto/yso/p20731>	piktogram
<http://www.yso.fi/onto/yso/p141766>	Markby (Nykarleby)
<http://www.yso.fi/onto/yso/p18883>	koptiska
<http://www.yso.fi/onto/yso/p13030>	Malla naturpark
<http://www.yso.fi/onto/yso/p3838>	tånglake
<http://www.yso.fi/onto/yso/p8605>	surmjölksprodukter
<http://www.yso.fi/onto/yso/p1250>	festligheter
<http://www.yso.fi/onto/yso/p3806>	psykisk träning
<http://www.yso.fi/onto/yso/p13396>	sorption
<http://www.yso.fi/onto/yso/p218984>	Päiväranta (Kuopio)
<http://www.yso.fi/onto/yso/p4562>	forum (domstolar)
<http://www.yso.fi/onto/yso/p29147>	klotsporig murkla
<http://www.yso.fi/onto/yso/p14004>	samtal
<http://www.yso.fi/onto/yso/p282>	daghem
<http://www.yso.fi/onto/yso/p219607>	Kuivasjärvi (Uleåborg : sjö)
<http://www.yso.fi/onto/yso/p5235>	ayurveda
<http://www.yso.fi/onto/yso/p18999>	krokfiske
<http://www.yso.fi/onto/yso/p15847>	varjager
<http://www.yso.fi/onto/yso/p28459>	inre monolog
<http://www.yso.fi/onto/yso/p8804>	operafestspel
<http://www.yso.fi/onto/yso/p8524>	Paint Shop Pro
<http://www.yso.fi/onto/yso/p212137>	Biskopsböle (Vanda)
<http://www.yso.fi/onto/yso/p6361>	Monte Carlo-metoder
<http://www.yso.fi/onto/yso/p212216>	Vuoksenniska (Imatra)
<http://www.yso.fi/onto/yso/p94243>	Kymmenedalen
<http://www.yso.fi/onto/yso/p4501>	spannmål
<http://www.yso.fi/onto/yso/p29882>	rörbladsinstrument
<http://www.yso.fi/onto/yso/p212867>	Fallbäcken (Vanda)
<http://www.yso.fi/onto/yso/p94279>	Larsmo
<http://www.yso.fi/onto/yso/p2672>	socialpolitik
<http://www.yso.fi/onto/yso/p9018>	oljeprodukter
<http://www.yso.fi/onto/yso/p113788>	Karhijärvi
<http://www.yso.fi/onto/yso/p215156>	Hietajoki
<http://www.yso.fi/onto/yso/p105351>	Keminmaa
<http://www.yso.fi/onto/yso/p25537>	daliter
<http://www.yso.fi/onto/yso/p29931>	ghazal
<http://www.yso.fi/onto/yso/p28866>	julirevolutionen (1830)
<http://www.yso.fi/onto/yso/p144446>	Tammio (Fredrikshamn)
<http://www.yso.fi/onto/yso/p11317>	slaget vid Napo
<http://www.yso.fi/onto/yso/p25513>	denguefeber
<http://www.yso.fi/onto/yso/p16561>	ändamålsenlighet
<http://www.yso.fi/onto/yso/p8425>	tackor
<http://www.yso.fi/onto/yso/p4592>	växtriket
<http://www.yso.fi/onto/yso/p13175>	lansering
<http://www.yso.fi/onto/yso/p38030>	fortskridande ras
<http://www.yso.fi/onto/yso/p16609>	jultidningar
<http://www.yso.fi/onto/yso/p14295>	shiatsu
<http://www.yso.fi/onto/yso/p19776>	sjukledighet
<http://www.yso.fi/onto/yso/p506859>	Liberec
<http://www.yso.fi/onto/yso/p7109>	fluorider
<http://www.yso.fi/onto/yso/p7917>	rotsystem
<http://www.yso.fi/onto/yso/p105372>	Tyrnävä
<http://www.yso.fi/onto/yso/p9460>	skuldförhållanden
<http://www.yso.fi/onto/yso/p105261>	Vanajavesistråten
<http://www.yso.fi/onto/yso/p11102>	arbetartidningar
<http://www.yso.fi/onto/yso/p3820>	laminering
<http://www.yso.fi/onto/yso/p12094>	tornerspel
<http://www.yso.fi/onto/yso/p3345>	sjörövare
<http://www.yso.fi/onto/yso/p105820>	Island
<http://www.yso.fi/onto/yso/p12136>	vitryggig hackspett
<http://www.yso.fi/onto/yso/p30022>	fandango (danser)
<http://www.yso.fi/onto/yso/p110645>	Calcutta
<http://www.yso.fi/onto/yso/p1316>	QSR NVivo
<http://www.yso.fi/onto/yso/p21641>	kritporing
<http://www.yso.fi/onto/yso/p25551>	julkort
<http://www.yso.fi/onto/yso/p2003>	science fiction-filmer
<http://www.yso.fi/onto/yso/p8611>	lärostrider
<http://www.yso.fi/onto/yso/p24455>	målorientering
<http://www.yso.fi/onto/yso/p1586>	teknik (vetenskaper)
<http://www.yso.fi/onto/yso/p14727>	uniformer
<http://www.yso.fi/onto/yso/p109769>	Husula (Veckelax)
<http://www.yso.fi/onto/yso/p10196>	musikkultur
<http://www.yso.fi/onto/yso/p12225>	medelvärden
<http://www.yso.fi/onto/yso/p13177>	störande av ordning
<http://www.yso.fi/onto/yso/p3200>	törnskator (familj)
<http://www.yso.fi/onto/yso/p28814>	sultaner
<http://www.yso.fi/onto/yso/p1224>	Torneåbor
<http://www.yso.fi/onto/yso/p158714>	Korvua (Suomussalmi)
<http://www.yso.fi/onto/yso/p16925>	specialtransport
<http://www.yso.fi/onto/yso/p13168>	postservice
<http://www.yso.fi/onto/yso/p24983>	flugbindning
<http://www.yso.fi/onto/yso/p2831>	filmklippning
<http://www.yso.fi/onto/yso/p112466>	Sundby (Pedersöre)
<http://www.yso.fi/onto/yso/p109193>	Tarjannevesi
<http://www.yso.fi/onto/yso/p2038>	metallarbetare
<http://www.yso.fi/onto/yso/p1674>	fysiska helheter
<http://www.yso.fi/onto/yso/p28662>	lätta elfordon
<http://www.yso.fi/onto/yso/p13852>	lagberedning
<http://www.yso.fi/onto/yso/p4683>	trafikfylleri
<http://www.yso.fi/onto/yso/p18067>	lim
<http://www.yso.fi/onto/yso/p13555>	industriflis
<http://www.yso.fi/onto/yso/p3516>	metonymi
<http://www.yso.fi/onto/yso/p216674>	Oświęcim
<http://www.yso.fi/onto/yso/p15722>	gips
<http://www.yso.fi/onto/yso/p22675>	manhwa
<http://www.yso.fi/onto/yso/p2523>	flygfotografering och -filmning
<http://www.yso.fi/onto/yso/p29601>	benbildning
<http://www.yso.fi/onto/yso/p24315>	kulturexport
<http://www.yso.fi/onto/yso/p25482>	enighet
<http://www.yso.fi/onto/yso/p20018>	stuvare
<http://www.yso.fi/onto/yso/p217414>	Kuolimaa (Raumo)
<http://www.yso.fi/onto/yso/p27456>	träffar
<http://www.yso.fi/onto/yso/p8770>	fjäderfäskötsel (arbete)
<http://www.yso.fi/onto/yso/p28779>	steg
<http://www.yso.fi/onto/yso/p165699>	Piteå
<http://www.yso.fi/onto/yso/p7632>	meteorologer
<http://www.yso.fi/onto/yso/p10402>	sexuella avvikelser
<http://www.yso.fi/onto/yso/p14865>	förtroendemän
<http://www.yso.fi/onto/yso/p18279>	portaler (nättjänster)
<http://www.yso.fi/onto/yso/p24911>	lag om televisions- och radioverksamhet
<http://www.yso.fi/onto/yso/p10775>	kyrkbåtar
<http://www.yso.fi/onto/yso/p11417>	befolkningsundersökning
<http://www.yso.fi/onto/yso/p167805>	Abchazien
<http://www.yso.fi/onto/yso/p94080>	Afrika
<http://www.yso.fi/onto/yso/p18950>	attitydförändring
<http://www.yso.fi/onto/yso/p17505>	Hartwall Arena
<http://www.yso.fi/onto/yso/p209900>	Kiiala (Ikalis)
<http://www.yso.fi/onto/yso/p1691>	offentligrättsliga samfund
<http://www.yso.fi/onto/yso/p26463>	mikrobloggar
<http://www.yso.fi/onto/yso/p16406>	kateketer
<http://www.yso.fi/onto/yso/p94440>	Terjärv
<http://www.yso.fi/onto/yso/p187>	eldistribution
<http://www.yso.fi/onto/yso/p19119>	narkotikatest
<http://www.yso.fi/onto/yso/p27291>	technicolor-teorier
<http://www.yso.fi/onto/yso/p25849>	övergripande säkerhet
<http://www.yso.fi/onto/yso/p27958>	carambola
<http://www.yso.fi/onto/yso/p6827>	arv
<http://www.yso.fi/onto/yso/p16595>	New Age-rörelsen
<http://www.yso.fi/onto/yso/p675>	sällskapsdjur
<http://www.yso.fi/onto/yso/p29687>	obildning
<http://www.yso.fi/onto/yso/p18855>	plastskivor
<http://www.yso.fi/onto/yso/p21038>	Pragvåren
<http://www.yso.fi/onto/yso/p14683>	argon
<http://www.yso.fi/onto/yso/p17913>	citron
<http://www.yso.fi/onto/yso/p26892>	käkkirurgi
<http://www.yso.fi/onto/yso/p26309>	sydlig kärrsnäppa
<http://www.yso.fi/onto/yso/p3191>	bränning
<http://www.yso.fi/onto/yso/p6041>	kulturindustri
<http://www.yso.fi/onto/yso/p109329>	Kuwait
<http://www.yso.fi/onto/yso/p803>	settlementsrörelsen
<http://www.yso.fi/onto/yso/p15826>	oljeeldning
<http://www.yso.fi/onto/yso/p106310>	Kolvananuuro
<http://www.yso.fi/onto/yso/p24955>	socioemotionella färdigheter
<http://www.yso.fi/onto/yso/p25577>	sexberoende
<http://www.yso.fi/onto/yso/p25790>	intermodala transporter
<http://www.yso.fi/onto/yso/p3225>	val (samhälleliga händelser)
<http://www.yso.fi/onto/yso/p199412>	Sumparn (Helsingfors)
<http://www.yso.fi/onto/yso/p30073>	fosterländsk musik
<http://www.yso.fi/onto/yso/p25037>	antikhandlare
<http://www.yso.fi/onto/yso/p3487>	regnskogar
<http://www.yso.fi/onto/yso/p24560>	käpphästar
<http://www.yso.fi/onto/yso/p7541>	kibbutzer
<http://www.yso.fi/onto/yso/p16173>	tillväxtcentra
<http://www.yso.fi/onto/yso/p29786>	avslappningsmusik
<http://www.yso.fi/onto/yso/p13059>	röda hund
<http://www.yso.fi/onto/yso/p9525>	affärshemlighet
<http://www.yso.fi/onto/yso/p28270>	melanokortiner
<http://www.yso.fi/onto/yso/p105594>	Kiihtelysvaara
<http://www.yso.fi/onto/yso/p22521>	chow chow
<http://www.yso.fi/onto/yso/p11525>	snöskotrar
<http://www.yso.fi/onto/yso/p106684>	Pyhäjärvi Ol.
<http://www.yso.fi/onto/yso/p11315>	DESIGN-KIT
<http://www.yso.fi/onto/yso/p27722>	monsterbilar
<http://www.yso.fi/onto/yso/p12881>	textilslöjd
<http://www.yso.fi/onto/yso/p11603>	stadieväxling
<http://www.yso.fi/onto/yso/p119954>	Borgå ådal
<http://www.yso.fi/onto/yso/p15064>	klinisk fysiologi
<http://www.yso.fi/onto/yso/p12843>	kroki
<http://www.yso.fi/onto/yso/p30018>	ambrosiansk sång
<http://www.yso.fi/onto/yso/p25363>	författningsdomstolar
<http://www.yso.fi/onto/yso/p12743>	företagsmarknadsföring
<http://www.yso.fi/onto/yso/p20610>	hedersdoktorer
<http://www.yso.fi/onto/yso/p26141>	burjatiska
<http://www.yso.fi/onto/yso/p128204>	San Francisco
<http://www.yso.fi/onto/yso/p213344>	Riksväg 16
<http://www.yso.fi/onto/yso/p11380>	ventilationsapparater
<http://www.yso.fi/onto/yso/p106035>	Geta
<http://www.yso.fi/onto/yso/p23186>	skämttecknare
<http://www.yso.fi/onto/yso/p22692>	Kulla gård
<http://www.yso.fi/onto/yso/p94423>	Sund
<http://www.yso.fi/onto/yso/p28928>	järnoxider
<http://www.yso.fi/onto/yso/p5572>	hasardspel
<http://www.yso.fi/onto/yso/p818>	framtidsförväntningar
<http://www.yso.fi/onto/yso/p7997>	bipolär sjukdom
<http://www.yso.fi/onto/yso/p2150>	redskap
<http://www.yso.fi/onto/yso/p8455>	tillämpande
<http://www.yso.fi/onto/yso/p109274>	Bayern
<http://www.yso.fi/onto/yso/p18968>	campingområden
<http://www.yso.fi/onto/yso/p6821>	lantgårdar
<http://www.yso.fi/onto/yso/p108574>	Gårdsbacka (Helsingfors)
<http://www.yso.fi/onto/yso/p10637>	fjällräv
<http://www.yso.fi/onto/yso/p4327>	ekonomiförvaltning
<http://www.yso.fi/onto/yso/p23477>	internprissättning
<http://www.yso.fi/onto/yso/p7442>	inlösningsrätt
<http://www.yso.fi/onto/yso/p2314>	arbetssäkerhet
<http://www.yso.fi/onto/yso/p20905>	auditorier
<http://www.yso.fi/onto/yso/p9891>	textproduktion
<http://www.yso.fi/onto/yso/p17607>	ungdomsfullmäktige
<http://www.yso.fi/onto/yso/p21859>	andmatsläktet
<http://www.yso.fi/onto/yso/p18083>	våldtäkt
<http://www.yso.fi/onto/yso/p21646>	fytoremediering
<http://www.yso.fi/onto/yso/p1193>	gärningsmän
<http://www.yso.fi/onto/yso/p1870>	förebyggande brandskydd
<http://www.yso.fi/onto/yso/p10050>	stadsmodeller
<http://www.yso.fi/onto/yso/p947>	fångst
<http://www.yso.fi/onto/yso/p19249>	bibliofili
<http://www.yso.fi/onto/yso/p2843>	mjölkhanterare
<http://www.yso.fi/onto/yso/p27657>	kålrabbi
<http://www.yso.fi/onto/yso/p25875>	vuxenstuderande
<http://www.yso.fi/onto/yso/p15744>	ad hoc-nät
<http://www.yso.fi/onto/yso/p209905>	Tennessee
<http://www.yso.fi/onto/yso/p5735>	fenomenalism
<http://www.yso.fi/onto/yso/p15284>	kroater
<http://www.yso.fi/onto/yso/p15234>	konstläder
<http://www.yso.fi/onto/yso/p28857>	cytoplasma
<http://www.yso.fi/onto/yso/p11285>	determinanter
<http://www.yso.fi/onto/yso/p213962>	Tulkkila (Kumo)
<http://www.yso.fi/onto/yso/p13514>	centralsjukhus
<http://www.yso.fi/onto/yso/p6915>	barn i lekåldern
<http://www.yso.fi/onto/yso/p5817>	upplaga (spridning)
<http://www.yso.fi/onto/yso/p16663>	ananas
<http://www.yso.fi/onto/yso/p26777>	havsväxter
<http://www.yso.fi/onto/yso/p29645>	referentgranskning
<http://www.yso.fi/onto/yso/p24646>	jagare (krigsfartyg)
<http://www.yso.fi/onto/yso/p22152>	rödalger
<http://www.yso.fi/onto/yso/p16911>	historieskrivning
<http://www.yso.fi/onto/yso/p12189>	plattfiskar
<http://www.yso.fi/onto/yso/p123310>	Bajkalsjön
<http://www.yso.fi/onto/yso/p26407>	övervakningsstraff
<http://www.yso.fi/onto/yso/p17357>	pacemaker
<http://www.yso.fi/onto/yso/p16677>	samfällda områden
<http://www.yso.fi/onto/yso/p20695>	fort
<http://www.yso.fi/onto/yso/p10134>	leonberger
<http://www.yso.fi/onto/yso/p19787>	skatteavdrag
<http://www.yso.fi/onto/yso/p16338>	pollen
<http://www.yso.fi/onto/yso/p14666>	chinchilla
<http://www.yso.fi/onto/yso/p22505>	violinister
<http://www.yso.fi/onto/yso/p17062>	världsmästare
<http://www.yso.fi/onto/yso/p7646>	mineralutvinningsindustri
<http://www.yso.fi/onto/yso/p11355>	regional struktur
<http://www.yso.fi/onto/yso/p9455>	slutmuskler
<http://www.yso.fi/onto/yso/p17035>	eurokommunism
<http://www.yso.fi/onto/yso/p17519>	hobbyrum
<http://www.yso.fi/onto/yso/p110113>	Lankamaa (Laukas)
<http://www.yso.fi/onto/yso/p135838>	Nerkoo (Lapinlahti)
<http://www.yso.fi/onto/yso/p22076>	teknologie kandidater
<http://www.yso.fi/onto/yso/p13863>	kommunfullmäktige
<http://www.yso.fi/onto/yso/p15460>	skogstillgångar
<http://www.yso.fi/onto/yso/p27881>	burkor
<http://www.yso.fi/onto/yso/p151867>	Parkatniemi (Kristina)
<http://www.yso.fi/onto/yso/p23880>	skelettcancer
<http://www.yso.fi/onto/yso/p20074>	dyngbaggar
<http://www.yso.fi/onto/yso/p28163>	korsfästelse
<http://www.yso.fi/onto/yso/p18483>	antikens mytologi
<http://www.yso.fi/onto/yso/p17120>	reservat
<http://www.yso.fi/onto/yso/p15591>	Reifeprüfung-examen
<http://www.yso.fi/onto/yso/p3923>	kroppskultur
<http://www.yso.fi/onto/yso/p17203>	hundkojor
<http://www.yso.fi/onto/yso/p164571>	Jerez de la Frontera
<http://www.yso.fi/onto/yso/p11744>	verser
<http://www.yso.fi/onto/yso/p23863>	empirisk rättsforskning
<http://www.yso.fi/onto/yso/p20152>	underentreprenad
<http://www.yso.fi/onto/yso/p108075>	Lofoten
<http://www.yso.fi/onto/yso/p27848>	miljövarudeklarationer
<http://www.yso.fi/onto/yso/p106299>	Metsäpelto (Lahtis)
<http://www.yso.fi/onto/yso/p28811>	moghol
<http://www.yso.fi/onto/yso/p5712>	slöjd
<http://www.yso.fi/onto/yso/p12307>	fotografer
<http://www.yso.fi/onto/yso/p212128>	Fastböle (Vanda)
<http://www.yso.fi/onto/yso/p201210>	Uitonvirta (Sulkava)
<http://www.yso.fi/onto/yso/p663>	Helsingfors-Vanda flygplats
<http://www.yso.fi/onto/yso/p17134>	genrer
<http://www.yso.fi/onto/yso/p1788>	riskor
<http://www.yso.fi/onto/yso/p17220>	merkanter
<http://www.yso.fi/onto/yso/p27216>	skriftlig kultur
<http://www.yso.fi/onto/yso/p109279>	Jyskyjärvi
<http://www.yso.fi/onto/yso/p4126>	kartläggare
<http://www.yso.fi/onto/yso/p23102>	fysisk aktivitet
<http://www.yso.fi/onto/yso/p26075>	harvning
<http://www.yso.fi/onto/yso/p18862>	bett (sting)
<http://www.yso.fi/onto/yso/p20016>	gatuavgifter
<http://www.yso.fi/onto/yso/p25699>	kolvar
<http://www.yso.fi/onto/yso/p27264>	forntida religioner
<http://www.yso.fi/onto/yso/p113331>	Ankele (Virtasalmi)
<http://www.yso.fi/onto/yso/p27156>	diskret matematik
<http://www.yso.fi/onto/yso/p4959>	serviceböcker
<http://www.yso.fi/onto/yso/p7384>	fysisk kondition
<http://www.yso.fi/onto/yso/p29236>	koptisk litteratur
<http://www.yso.fi/onto/yso/p153013>	Ristola (S:t Andree)
<http://www.yso.fi/onto/yso/p10732>	genbanker
<http://www.yso.fi/onto/yso/p9133>	bibliska personer
<http://www.yso.fi/onto/yso/p26624>	grytunderlägg
<http://www.yso.fi/onto/yso/p208559>	Uusikylä (Paltamo)
<http://www.yso.fi/onto/yso/p959>	snabbeldsgevär
<http://www.yso.fi/onto/yso/p112711>	Hirsijärvi (Muhos)
<http://www.yso.fi/onto/yso/p7968>	hälsosystrar
<http://www.yso.fi/onto/yso/p110135>	Lövö (Vårdö)
<http://www.yso.fi/onto/yso/p105858>	Kypäräjärvi (Heinävesi)
<http://www.yso.fi/onto/yso/p191289>	Ilmolahti (Viitasaari)
<http://www.yso.fi/onto/yso/p27758>	direktsändningar
<http://www.yso.fi/onto/yso/p29376>	skogsfru (växtarter)
<http://www.yso.fi/onto/yso/p106275>	Bretagne
<http://www.yso.fi/onto/yso/p15687>	industrivirke
<http://www.yso.fi/onto/yso/p110438>	Lielahti (Tammerfors)
<http://www.yso.fi/onto/yso/p13028>	bibliotekskort
<http://www.yso.fi/onto/yso/p214106>	Rikala kanal
<http://www.yso.fi/onto/yso/p190456>	Tavastgatan (Tammerfors)
